#{"t_start": 1648261826.6046648, "env_id": "HummingbirdHoverTaskEnvPPO-v2"}
r,l,t
66.713105,168,7.651738
-100,1,7.761481
329.500086,459,17.105752
147.825039,290,23.019952
-100,1,23.15081
383.318092,375,30.752193
317.674527,425,39.348965
339.102234,471,50.193729
125.585668,257,55.467068
76.546841,178,59.127632
226.176292,356,66.401816
-100,1,66.532595
182.310706,284,72.335198
340.383171,478,82.002637
205.327283,307,88.316307
-100,1,88.465815
96.606025,198,93.726291
-100,1,93.838296
432.70628,572,105.407481
236.536408,374,112.977435
323.805289,443,121.98429
390.179439,492,131.937638
377.126506,479,142.833797
383.112473,485,152.700991
-100,1,152.849798
14.54127,116,155.310557
-100,1,155.431499
402.134806,504,165.678073
297.24284,399,173.772901
338.829592,481,184.858778
-100,1,184.988322
341.034163,443,193.940793
411.298028,521,204.465958
389.474129,492,214.412845
-100,1,214.534142
338.600163,474,225.507917
246.369076,390,233.47384
182.562479,284,239.276148
215.23063,325,245.938651
281.409095,383,253.755059
213.769653,324,260.369315
241.564381,373,269.212772
-100,1,269.332626
94.57512,196,273.413203
142.866019,286,279.276839
-100,1,279.387008
91.613101,193,283.409519
53.541289,155,286.663322
87.655202,189,290.552137
-100,1,290.67448
303.940331,406,298.907712
223.817657,355,307.312921
440.25154,570,318.861283
-100,1,318.990118
101.453145,207,323.289662
133.54336,258,328.593681
11.746714,113,330.994165
448.407553,591,342.949405
-100,1,343.061092
92.377624,194,347.105448
230.908223,363,355.716552
240.624693,382,363.492359
131.351321,264,368.883446
299.367838,401,377.008299
-100,1,377.119005
103.676539,205,381.342224
200.526294,302,387.492697
-100,1,387.60268
88.571483,190,392.764681
85.655107,187,396.598555
235.58258,366,404.023783
237.198518,373,411.617506
-100,1,411.748061
331.907969,464,421.163015
-100,1,421.29475
232.828542,369,428.836822
-100,1,428.987352
43.585851,145,432.018156
290.315405,392,441.264996
199.37653,301,447.43432
439.263234,579,459.132875
-100,1,459.262772
140.078151,277,464.977294
397.414919,499,475.11108
407.268857,509,486.657547
336.48054,469,496.14294
-100,1,496.271422
130.803957,260,501.598342
308.609127,415,510.02009
193.474537,295,516.073684
404.164173,506,527.548416
328.92831,465,536.972245
440.068629,583,548.762732
-100,1,548.890412
151.507388,253,554.072867
90.508768,192,558.056199
-100,1,558.177392
234.805282,368,566.989134
156.143109,317,573.453314
218.154846,332,580.2073
334.302926,473,589.803345
224.569167,345,596.845322
227.098752,347,603.918128
439.140212,579,616.937129
252.444865,394,624.951833
139.774867,278,630.653819
131.586062,260,635.986397
345.227366,482,645.802232
424.778387,540,658.018087
340.69496,479,667.723006
100.625991,202,671.934401
237.938249,367,679.408454
397.195964,499,689.503953
341.516816,478,700.401447
136.212667,267,705.843432
287.300652,389,713.808911
184.618879,286,719.630581
-100,1,719.748617
278.301979,380,727.504544
341.310955,476,738.35049
327.055954,461,747.706604
92.529819,194,751.760221
300.380793,402,759.921942
305.265036,409,768.208915
287.307259,389,776.100529
440.153088,584,789.127037
133.936932,271,794.650975
424.790294,537,805.528845
-100,1,805.649256
429.736633,559,816.953604
202.516189,304,824.458119
153.431146,299,830.540071
-100,1,830.650447
79.618947,181,834.401371
105.553477,207,838.692937
188.54558,290,844.627421
-100,1,844.73844
230.444579,361,852.120523
244.579756,387,859.973244
134.429058,270,866.657529
116.074276,222,871.231602
205.447276,307,877.502763
336.239265,468,886.989794
-100,1,887.10937
247.316826,389,895.025974
-100,1,895.154885
344.865376,487,905.009152
145.557247,286,912.043075
309.376657,411,920.368824
403.592908,508,930.634165
-21.273442,80,932.38549
294.355237,396,940.449314
138.822362,277,946.142432
-100,1,946.271382
407.173068,510,957.807943
-100,1,957.917015
293.062584,395,965.940218
431.870513,568,977.43832
408.594291,513,987.841883
-100,1,987.952999
152.227082,298,995.355681
103.646399,205,999.56109
391.216367,493,1009.554149
197.443062,299,1015.648403
288.405101,390,1023.581952
348.898487,490,1033.498813
331.605887,459,1044.104281
432.028523,564,1055.478342
345.888625,490,1065.363629
224.307958,332,1072.147828
239.536192,370,1080.850708
436.648068,572,1092.398965
389.238746,491,1102.346973
336.427301,471,1111.871218
140.313808,270,1117.423242
334.479649,477,1128.31858
-25.260996,76,1129.978918
245.49054,392,1137.923593
140.19415,283,1143.728578
1.631467,103,1145.928451
94.55282,196,1150.001153
135.188487,266,1155.452692
146.92584,287,1161.313981
125.946476,257,1167.827667
131.578286,264,1173.212856
433.871873,574,1184.818344
438.020711,577,1196.473867
-100,1,1196.605443
291.432065,393,1204.577317
461.979062,522,1216.345567
0,1,1216.462337
443.190758,580,1228.203863
427.636824,551,1239.376513
296.422384,398,1247.490272
328.62022,445,1257.765406
236.297757,380,1265.459464
302.359769,404,1273.685136
344.373882,485,1283.53089
-100,1,1283.650678
410.089793,516,1294.096703
335.371854,476,1305.023017
333.91031,470,1314.527484
131.701647,262,1319.869476
136.362755,272,1325.454074
429.484257,558,1336.730649
194.448777,296,1343.973551
-100,1,1344.103378
407.338583,509,1354.409758
150.703021,288,1360.282056
439.483583,581,1372.039222
-100,1,1372.159297
440.698692,579,1385.1654
163.26804,320,1391.71905
439.806573,577,1403.406348
-100,1,1403.556115
445.013287,595,1415.57127
337.801409,473,1426.378485
335.946534,477,1436.072723
-100,1,1436.191617
136.441764,274,1441.796326
238.912423,379,1449.502624
445.295967,581,1461.297343
137.21941,275,1468.198545
477.510629,655,1481.437448
249.228873,395,1489.442457
-100,1,1489.564869
234.10674,373,1497.15474
439.64708,584,1510.129823
249.261845,391,1518.046771
190.567116,292,1524.019681
388.34032,490,1533.926053
341.642387,477,1543.610387
336.083935,478,1554.614731
241.419261,382,1562.38987
435.437807,570,1573.969447
128.663865,250,1579.108588
429.362039,560,1590.434409
236.446056,375,1599.261613
210.554881,313,1605.683373
423.128279,550,1616.789428
239.576657,383,1624.605153
-100,1,1624.73613
337.92569,467,1634.209363
237.75256,374,1643.114236
302.459397,404,1651.310427
138.741468,274,1656.910317
438.490483,568,1668.387015
