#{"t_start": 1646376119.036609, "env_id": "HummingbirdHoverTaskEnvPPO-v3"}
r,l,t
-68.242724,53,2.434494
-72.759631,50,3.546838
-100,1,3.665913
30.196484,53,4.835874
-80.118298,35,5.634548
-73.663962,46,6.646966
-100,1,6.777984
36.65494,64,8.148357
-78.679695,39,9.232526
-100,1,9.340446
-69.274017,54,10.551908
-100,1,10.676467
-82.585974,28,11.38121
-100,1,11.493935
-74.738735,46,12.543915
-71.384043,55,13.793988
-86.089688,26,14.445167
-100,1,14.595159
-64.327005,62,15.924604
-100,1,16.023993
-72.659598,44,16.982827
-76.182173,42,17.936543
-79.125486,36,18.806611
-100,1,18.92607
-70.808553,53,20.104753
-73.167977,44,21.089292
-100,1,21.208664
30.736789,52,22.339753
0,1,22.488834
-81.091714,30,23.179815
-100,1,23.308204
-68.817221,55,24.487709
-72.199408,46,25.528661
-100,1,25.670388
30.157097,56,26.910092
0,1,27.007666
-76.125233,39,27.872853
-69.299374,54,29.050111
-75.781604,47,30.133256
-100,1,30.283056
-73.17117,44,31.253414
-73.720563,47,32.343669
-66.751615,56,33.594928
-79.595374,31,34.333962
35.175064,61,35.696259
0,1,35.815183
-84.069049,25,36.445683
-100,1,36.555437
-69.735254,51,37.696285
-100,1,37.805361
-78.59926,33,38.567915
-100,1,38.697031
-77.132957,38,39.577807
-77.129819,38,40.43799
32.172225,57,41.669669
-77.163962,40,42.600804
-73.185518,45,43.59756
-100,1,43.719698
-73.190553,45,44.728729
-100,1,44.860457
-69.28628,54,46.031057
-100,1,46.144218
-75.133657,40,47.031502
-100,1,47.152848
25.265248,48,48.231611
27.773389,49,49.322106
0,1,49.431778
-81.094693,30,51.394546
-75.127387,41,52.331896
-100,1,52.45388
-70.228349,50,53.543671
-100,1,53.663936
-68.758912,55,54.876885
-68.787596,54,56.075451
33.671837,60,57.397088
28.747293,50,58.507602
-100,1,58.628557
32.709567,58,59.909291
0,1,60.018067
-66.314477,58,61.26971
-100,1,61.418883
-69.798964,54,62.579587
-100,1,62.690795
-78.120973,36,63.529132
-100,1,63.639091
-81.58801,29,64.340584
-100,1,64.470638
33.225299,57,65.720436
0,1,65.850811
-70.716711,49,66.920993
29.165537,56,68.16196
-72.690286,47,69.193766
-100,1,69.313254
33.684865,58,70.595503
29.231582,53,71.825468
0,1,71.93566
-80.084066,30,72.646463
-76.199635,44,73.6764
-100,1,73.805144
31.722168,55,74.98552
-100,1,75.127149
-69.248245,52,76.256556
-100,1,76.385983
30.186841,56,77.596888
-79.094146,33,78.368193
-100,1,78.519319
32.209528,55,79.707604
-73.155394,44,80.697017
33.644688,62,82.061564
27.262044,49,83.19048
32.213147,55,84.383646
0,1,84.502553
-73.674035,44,85.492503
-100,1,85.64097
-81.607632,31,86.40326
-74.746289,47,87.482716
-79.632159,36,88.331745
33.704535,56,89.551969
33.169511,57,90.793943
0,1,90.914507
-68.779517,55,92.105077
-100,1,92.215924
36.650615,64,93.585128
0,1,93.701752
-66.855731,58,94.986049
-100,1,95.095958
31.718321,56,96.337211
-68.835543,57,97.628057
-78.151655,38,98.528002
-100,1,98.659712
-67.817339,57,101.14772
-75.16397,42,102.079372
-100,1,102.212743
34.153709,59,103.480949
0,1,103.591506
35.253352,58,104.871546
30.716488,53,106.040728
-75.151517,41,106.983378
-100,1,107.112509
-77.624818,37,107.943871
-100,1,108.063033
29.256501,51,109.174124
-65.866695,63,110.553316
-77.11552,36,111.395828
32.227863,57,112.635446
33.645921,61,113.956844
0,1,114.065457
31.685779,57,115.32784
0,1,115.447932
-72.205843,48,116.496626
-100,1,116.616853
28.805204,48,117.677418
0,1,117.778815
31.662366,58,119.048011
-63.86416,64,120.427918
-82.576893,27,121.058647
-100,1,121.199737
33.193049,57,122.429858
-71.729203,49,123.499743
-100,1,123.620596
-79.103844,33,124.393979
-100,1,124.542094
36.654869,64,125.912227
-67.796017,57,127.14469
-100,1,127.293516
30.189954,53,128.442442
-75.671077,43,129.403926
-100,1,129.525935
38.149365,65,130.936764
0,1,131.05748
34.633051,61,132.387265
34.155471,60,133.686973
0,1,133.799083
33.187993,59,135.098377
-73.759589,48,136.168309
29.784986,50,137.281126
0,1,137.410703
32.151129,57,138.641246
0,1,138.759602
26.315108,43,139.711364
0,1,139.831054
-78.606711,35,140.650793
-100,1,140.781176
-77.60491,35,141.572772
-100,1,141.692651
31.16463,56,142.932279
31.626184,58,144.213966
-100,1,144.343081
32.190186,57,145.576069
33.121044,61,146.935139
30.67035,57,149.395091
0,1,149.504983
33.160066,59,150.776561
33.721435,58,152.036571
0,1,152.167318
28.250954,49,153.237121
0,1,153.346226
-68.835239,57,154.617112
-100,1,154.749228
32.241916,55,155.940889
0,1,156.069479
30.226939,53,157.219587
0,1,157.317731
-64.864122,62,158.631215
-100,1,158.740879
30.216491,53,159.889309
-76.680677,42,160.831858
29.761275,53,162.002392
0,1,162.121498
34.171515,59,163.392353
-70.140977,46,164.412481
29.272974,50,165.524014
31.177468,56,166.744463
37.662712,64,168.135583
0,1,168.255973
-75.616326,39,169.126104
34.607762,63,170.505225
0,1,170.617684
34.165312,59,171.906844
29.711182,53,173.089786
0,1,173.218021
34.690143,60,174.500336
0,1,174.629916
-72.185353,46,175.638824
-100,1,175.768451
-71.249992,50,176.850022
32.196725,57,178.091016
31.208941,55,179.329866
35.672812,63,180.679763
32.171464,57,181.962055
0,1,182.071651
-74.174432,43,183.050533
33.157599,58,184.312297
0,1,184.432863
36.635031,63,185.80498
0,1,185.915657
34.653535,62,187.274607
35.626362,63,188.636742
29.645326,57,189.917273
36.148029,63,191.26824
0,1,191.388446
33.19718,59,192.648718
0,1,192.76822
35.67343,62,194.098636
0,1,194.21062
33.227816,56,196.779905
25.76774,46,197.821095
0,1,197.941774
32.12054,61,199.281936
-100,1,199.392432
31.160023,57,200.70188
0,1,200.82359
-73.691302,45,201.842104
-100,1,201.974045
-66.272451,56,203.184866
-100,1,203.304273
34.675531,59,204.603923
33.14581,58,205.874248
0,1,205.985638
-73.186937,45,206.96463
-69.731195,52,208.115627
-100,1,208.234072
30.222396,53,209.385199
-77.16958,41,210.296916
35.156176,62,211.667259
0,1,211.777558
-68.737999,53,212.925871
-100,1,213.037659
34.18162,60,214.348612
0,1,214.479307
33.66343,60,215.769573
0,1,215.918902
31.18533,55,217.101279
0,1,217.209154
31.690936,56,218.450355
0,1,218.571275
33.692509,58,219.841633
-67.798076,57,221.130817
-100,1,221.252316
32.16682,57,222.471044
0,1,222.582475
30.228473,53,223.733664
-69.773335,55,224.921576
35.134691,63,226.283257
29.755019,51,227.41495
0,1,227.525504
-73.691354,47,228.547008
32.175933,57,229.796143
0,1,229.904714
31.715832,56,231.156696
35.111638,63,232.539688
-72.238154,47,233.599229
34.187356,59,234.88086
30.734944,52,236.039763
0,1,236.146326
29.711701,54,237.350118
-73.207439,47,238.410421
31.192231,56,239.640937
34.127221,62,241.013087
0,1,241.131993
30.675145,57,242.372893
29.772286,50,244.761842
-65.81655,59,246.033937
-78.182776,40,246.96542
-100,1,247.084731
32.663528,57,248.336771
0,1,248.455648
28.79205,50,249.575909
32.691979,57,250.847432
33.189255,58,252.137727
0,1,252.25978
32.171798,57,253.488643
0,1,253.619867
36.648189,62,254.950595
31.21155,55,256.180015
0,1,256.2905
29.220546,51,257.399787
0,1,257.50187
33.685144,58,258.792044
29.263063,51,259.943228
0,1,260.071783
38.06443,69,261.531557
34.635179,63,262.923442
28.305461,46,263.962345
34.120253,62,265.333803
0,1,265.445812
30.193207,55,266.67512
0,1,266.797314
33.646172,59,268.086353
28.698304,53,269.266969
0,1,269.385448
-64.259072,61,270.70774
-100,1,270.828029
-59.937359,71,272.359409
-100,1,272.469522
33.68256,59,273.76819
-65.850605,62,275.118461
-100,1,275.237805
34.677325,61,276.568933
25.82029,44,277.55285
0,1,277.681612
33.165407,59,278.95125
0,1,279.072329
31.191881,55,280.252523
27.668092,53,281.452578
0,1,281.564026
-65.86036,59,282.834468
32.293133,54,284.022907
28.064217,55,285.255264
-100,1,285.352896
34.155446,61,286.65674
34.633115,61,287.97695
31.678687,57,289.238342
0,1,289.359437
33.19579,57,290.598087
30.155075,55,293.068433
-100,1,293.190683
31.706227,54,294.360042
0,1,294.489407
-63.84664,63,295.839012
-100,1,295.959673
29.676345,54,297.12992
0,1,297.23752
-72.784499,51,298.381579
29.228433,51,299.501833
-69.380504,58,300.802992
32.170938,57,302.053327
32.622902,61,303.382072
0,1,303.504688
31.186767,57,304.72602
0,1,304.855863
35.168096,61,306.165623
0,1,306.281163
34.158304,61,307.625032
30.190106,55,308.848707
0,1,308.967119
-74.642348,41,309.877729
33.178952,57,311.145685
0,1,311.254782
32.159779,60,312.590748
33.222124,55,313.810111
0,1,313.941387
34.152741,59,315.240787
0,1,315.34064
36.16665,62,316.672572
37.14538,63,318.032998
0,1,318.164194
-65.83104,60,319.483869
32.159819,57,320.734088
0,1,320.854844
33.225896,57,322.084883
0,1,322.213712
32.686398,58,323.48548
30.259663,51,324.627189
-71.699447,49,325.704611
36.11673,64,327.108725
0,1,327.227278
35.083849,63,328.608238
28.731787,52,329.748673
31.691988,56,330.979815
28.296507,47,332.020873
-67.776054,56,333.261873
-100,1,333.381688
29.13809,55,334.612354
0,1,334.731049
35.652976,62,336.081959
36.184726,62,337.43197
0,1,337.541511
29.705176,52,338.671995
0,1,338.802859
-67.316326,56,341.345021
-67.282243,57,342.604823
35.191296,61,343.944623
0,1,344.077526
30.142846,55,345.305646
39.075067,69,346.789165
0,1,346.935909
33.194395,55,348.12825
-100,1,348.248726
-74.173949,44,349.219681
35.15351,61,350.559508
30.751736,52,351.701065
0,1,351.829472
28.757877,50,352.921646
31.145138,57,354.211151
34.146275,61,355.53294
34.205351,59,356.815303
32.168251,57,358.072397
-73.700746,47,359.14202
-100,1,359.263476
34.172677,61,360.604732
28.229979,51,361.765519
29.257489,50,362.886514
34.168696,60,364.19591
0,1,364.315326
29.776426,50,365.408628
0,1,365.517144
32.169232,57,366.788015
0,1,366.899139
-75.633406,41,367.839057
29.205327,53,369.038476
0,1,369.149898
32.748644,56,370.360002
32.682687,56,371.578821
0,1,371.709296
36.133885,63,373.050781
0,1,373.171911
32.176368,57,374.390403
33.641613,60,375.702931
0,1,375.814915
33.665174,58,377.07277
0,1,377.211819
32.179141,57,378.413779
28.233359,51,379.584507
37.688266,62,380.945423
-76.153294,42,381.925192
-100,1,382.05507
-70.750241,51,383.166394
26.669398,52,384.338966
34.659957,60,385.647748
0,1,385.756586
31.185764,56,386.997914
26.307782,45,389.328431
33.630753,60,390.641323
34.66384,61,391.990039
0,1,392.110501
33.620855,62,393.432579
31.202457,54,394.613076
37.671256,65,396.01386
37.175227,63,397.393745
0,1,397.544082
36.145597,63,398.89572
0,1,399.01571
34.200969,59,400.283451
-67.840187,57,401.537832
-100,1,401.656229
35.669992,62,402.984492
